action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -6
[hazard_37] 2 2 37 -9
[hazard_37] 3 1 37 1
[changelane_37] 4 1 37 -2
[move_1_37] 5 2 36 0
[hazard_36] 6 2 36 -6
[hazard_36] 7 2 36 -9
[hazard_36] 8 1 36 1
[brake_36] 9 1 36 -2
[move_1_36] 10 2 33 0
[hazard_33] 11 2 33 -7
[hazard_33] 12 1 33 -2
[move_1_33] 13 2 7 0
[hazard_7] 14 2 7 -7
[hazard_7] 15 1 7 -2
[move_0_7] 16 2 14 0
[hazard_14] 17 2 14 -6
[hazard_14] 18 2 14 -8
[hazard_14] 19 1 14 6
[uturn_14] 20 2 14 -3
[term] 21 2 51 -11
[term] 22 2 51 -11
